Link,Diện tích,Hướng ban công,Hướng nhà,Khoảng giá,Mặt tiền,Nội thất,Pháp lý,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Đường vào
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-phu-thuan-phuong-tan-phu-19-prj-sunshine-sky-city/-q7-tt-36-thang-tra-25-den-khi-nhan-nha-gia-75tr-m2-uu-dai-1-book-cho-phi-ql-pr44338625,77 m²,,,"5,6 tỷ",,,Hợp đồng mua bán,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-bui-dinh-tuy-phuong-24/re-nhat-binh-thanh-quanh-10-truong-dai-hoc-hem-oto-4-2x24-2tang-10-89-ty-pr44083678,"96,1 m²",,Đông,"10,5 tỷ","4,2 m",Cơ bản,Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,2 tầng,4 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-ton-duc-thang-phuong-ben-nghe-prj-vinhomes-golden-river-ba-son/gio-hang-chuyen-nhuong-10-vinmes-gia-tot-so-ng-tro-vay-xem-nha-nhanh-pr44158886,86 m²,,,16 tỷ,,Đầy đủ,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-nha-rieng-pho-tran-xuan-soan-phuong-tan-hung-14/-co-video-rong-55m2-ko-qui-hoach-ngang-khung-4-2m-no-hau-hem-1-sec-cach-q1-va-q8-chi-500m-pr44322107,55 m²,Đông,Đông,"5,5 tỷ","4,2 m",Đầy đủ,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,2 tầng,"2,5 m"
https://batdongsan.com.vn/ban-nha-rieng-duong-go-dau-phuong-tan-son-nhi/16-85-15-8-ty-mua-c-2-mat-tien-no-hau-6-4x19m-5-tang-pr43840676,111 m²,,,"15,5 tỷ",,,Sổ đỏ/ Sổ hồng,,,5 tầng,10 m
https://batdongsan.com.vn/ban-dat-xa-phuoc-vinh-an/-mat-tien-duong-nhua-cu-chi-121m2-6-2x17-no-hau-8-6m-gia-1-ty-700-pr44301599,121 m²,,,"1,7 tỷ","6,2 m",,Sổ đỏ/ Sổ hồng,,,,10 m
https://batdongsan.com.vn/ban-nha-rieng-duong-phu-dinh-phuong-16-1/gia-tot-4-tang-btct-q-8-52m-hxh-4pn-hop-gd-7-8-nguoi-gia-chi-4-9-ty-pr43919262,42 m²,,,"4,9 tỷ","5,2 m",Cơ bản,Sổ đỏ/ Sổ hồng,4 phòng,3 phòng,4 tầng,4 m
https://batdongsan.com.vn/ban-nha-rieng-phuong-12-7/ban-5-tang-4x11-5-so-vuong-hem-oto-rong-rai-gan-mat-tien-ngay-no-trang-long-phan-van-tri-pr44320745,"44,2 m²",,,"9,3 tỷ",4 m,,Sổ đỏ/ Sổ hồng,5 phòng,5 phòng,5 tầng,6 m
https://batdongsan.com.vn/ban-nha-rieng-duong-11-1-phuong-truong-tho-2/ban-3-tang-hem-xe-hoi-ng-11-p-gia-chi-7-5ty-tl-pr44319266,68 m²,,,"7,5 tỷ","4,3 m",Đầy đủ.,Sổ đỏ/ Sổ hồng.,3 phòng,3 phòng,3 tầng,5 m
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-dau-phuong-11-7/gia-re-hem-xe-hoi-8m-o-to-vao-91m2-gan-mat-tien-8-6-ty-p11-binh-thanh-pr44315220,91 m²,,,"8,6 tỷ",,,,,,2 tầng,8 m
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-canh-di-phuong-4-20/ban-can-ho-dich-vu-ngay-truong-son-7x30-cho-thue-350tr-thang-gia-chi-45-ti-pr44243423,"210,5 m²",,,45 tỷ,,,Sổ đỏ/ Sổ hồng,28 phòng,,7 tầng,
